,Duration,Heart_Rate,Body_Temp,Calories
210,14,93,40.1,87.0
213,2,80,38.6,5.0
214,29,109,40.9,201.0
215,3,86,38.2,9.0
216,8,83,39.3,20.0
217,29,113,40.8,221.0
219,20,99,40.3,108.0
220,29,110,40.4,257.0
221,27,108,40.8,192.0
222,17,90,40.3,72.0
223,28,104,41.2,169.0
224,18,97,40.3,120.0
225,28,106,40.8,172.0
226,10,84,39.9,21.0
230,24,100,40.8,134.0
234,7,91,39.3,34.0
243,15,102,40.3,113.0
246,24,100,40.5,137.0
247,17,97,40.5,71.0
249,14,103,40.1,76.0
250,27,109,40.5,187.0
254,17,98,40.5,91.0
256,7,84,39.1,36.0
257,13,97,39.9,80.0
259,27,116,40.6,195.0
261,22,99,40.5,138.0
263,19,97,40.5,120.0
264,30,112,41.0,197.0
265,21,98,40.7,114.0
267,23,97,40.8,112.0
270,16,103,40.4,110.0
272,17,105,40.2,115.0
273,21,107,40.6,157.0
276,19,107,40.5,156.0
277,10,91,39.9,42.0
280,19,98,40.4,99.0
281,20,109,40.5,161.0
284,27,105,41.0,200.0
285,28,108,40.7,183.0
286,19,110,40.7,140.0
288,22,110,40.3,178.0
289,27,104,41.0,150.0
291,6,74,39.3,12.0
293,25,101,40.8,147.0
294,8,90,39.4,44.0
297,9,84,39.4,20.0
299,30,112,41.0,247.0
300,23,100,40.8,173.0
302,6,83,39.0,32.0
305,8,88,39.7,30.0
307,27,104,40.8,152.0
308,15,105,39.9,91.0
309,4,83,38.8,9.0
312,26,110,40.6,223.0
313,16,97,40.0,83.0
315,10,97,40.0,52.0
319,27,105,40.6,181.0
321,7,88,39.6,23.0
322,23,100,40.3,109.0
323,8,84,39.7,30.0
325,19,109,40.4,128.0
326,23,97,40.7,137.0
327,28,103,40.8,216.0
329,18,97,40.7,129.0
330,11,88,39.8,50.0
333,27,119,40.4,197.0
334,4,95,38.7,24.0
336,12,91,40.1,54.0
337,19,100,40.5,88.0
338,7,83,39.5,24.0
341,22,98,40.5,126.0
342,5,89,39.5,24.0
344,7,92,39.5,28.0
345,10,90,39.7,34.0
346,23,96,40.5,161.0
347,4,86,38.9,20.0
348,23,97,40.6,119.0
355,5,81,39.1,11.0
356,23,104,40.5,122.0
360,29,108,40.7,208.0
361,19,102,41.0,101.0
362,14,91,40.0,66.0
363,14,102,40.1,100.0
364,13,101,39.9,65.0
365,13,91,39.8,47.0
366,3,78,38.6,8.0
368,21,97,40.4,101.0
370,21,108,40.5,131.0
373,24,104,40.6,152.0
374,28,105,41.0,193.0
375,10,99,39.7,51.0
376,25,105,40.7,157.0
381,14,91,40.0,74.0
382,5,85,39.1,26.0
385,29,112,40.9,217.0
386,11,87,40.0,47.0
387,24,99,40.4,139.0
390,17,94,40.4,74.0
392,28,105,40.8,154.0
394,10,97,39.8,52.0
395,15,97,40.1,79.0
396,17,99,40.4,94.0
397,28,116,41.0,202.0
398,27,114,40.7,238.0
399,19,103,40.2,117.0
400,7,83,39.5,26.0
401,23,106,40.7,184.0
404,27,107,41.0,162.0
406,21,105,40.4,150.0
409,15,103,40.0,99.0
412,18,95,40.3,127.0
413,5,84,38.9,11.0
414,18,94,40.7,66.0
415,11,91,39.5,49.0
417,7,95,39.5,37.0
419,29,107,41.1,243.0
422,28,112,40.8,241.0
424,26,112,40.6,171.0
425,9,87,39.7,52.0
426,28,103,40.7,187.0
428,28,123,40.5,314.0
432,25,111,40.8,211.0
436,7,83,39.5,22.0
437,30,110,41.0,247.0
438,5,84,39.0,17.0
441,10,91,39.7,52.0
443,10,98,39.7,68.0
444,17,89,40.4,74.0
445,24,97,40.6,154.0
447,17,97,39.9,96.0
448,13,101,39.8,77.0
450,21,101,40.6,129.0
452,28,106,40.9,197.0
453,13,104,40.3,77.0
455,27,100,40.7,161.0
458,20,106,40.5,135.0
459,11,90,40.0,55.0
460,10,84,39.8,29.0
461,12,97,39.9,52.0
463,21,94,40.6,106.0
464,6,84,39.0,28.0
465,22,107,40.9,189.0
468,22,99,40.5,135.0
469,4,97,38.7,23.0
470,12,80,39.9,17.0
474,5,85,39.1,15.0
475,9,92,40.0,29.0
480,30,101,41.0,165.0
482,15,96,40.1,69.0
484,7,92,39.5,26.0
485,5,91,39.2,22.0
487,4,83,39.3,9.0
488,15,95,40.3,72.0
489,25,111,40.6,165.0
490,29,105,41.0,165.0
492,18,105,40.5,103.0
497,6,92,39.6,23.0
500,29,120,40.7,240.0
502,14,106,40.0,117.0
505,2,85,38.2,9.0
508,8,102,39.7,42.0
509,24,110,40.6,187.0
510,16,94,40.4,70.0
512,9,83,39.8,17.0
513,28,108,40.9,195.0
515,14,87,39.9,39.0
516,6,88,38.9,28.0
517,16,93,40.3,68.0
519,16,97,40.2,89.0
521,28,111,41.2,185.0
524,13,92,40.2,44.0
526,21,103,40.4,112.0
527,10,81,39.8,37.0
528,9,86,39.8,24.0
530,15,101,40.1,106.0
531,14,85,39.9,57.0
532,18,97,40.3,119.0
535,23,100,40.7,106.0
536,25,106,41.0,156.0
537,14,92,40.4,75.0
538,18,99,40.6,130.0
540,22,99,40.5,121.0
544,13,94,40.3,53.0
551,6,90,39.0,26.0
552,18,93,40.5,90.0
553,16,99,40.7,91.0
554,17,95,40.3,79.0
560,4,85,39.3,17.0
562,19,101,40.5,110.0
564,25,107,40.8,164.0
565,5,81,39.5,15.0
566,12,96,40.2,85.0
567,23,101,40.6,128.0
568,14,94,40.2,59.0
576,28,107,40.7,205.0
579,4,91,38.7,18.0
580,7,92,39.3,44.0
581,26,103,41.3,172.0
583,6,82,39.5,11.0
584,25,96,40.9,108.0
587,10,88,39.7,36.0
588,4,89,38.7,19.0
591,2,81,38.6,4.0
594,28,105,41.1,226.0
596,7,92,39.7,30.0
598,22,102,40.7,111.0
599,27,107,40.7,199.0
602,28,105,40.9,219.0
603,21,102,39.9,162.0
604,25,110,40.5,190.0
605,30,108,40.7,190.0
612,22,97,40.6,139.0
614,11,96,39.5,55.0
615,9,95,39.4,48.0
616,24,107,40.4,160.0
618,25,105,41.2,178.0
620,9,85,39.6,32.0
622,14,92,40.3,86.0
623,16,97,40.3,97.0
624,28,117,40.7,217.0
625,21,91,40.6,88.0
630,12,92,39.8,40.0
632,25,100,40.4,195.0
633,10,91,39.9,52.0
634,4,81,39.1,8.0
635,26,104,40.8,136.0
636,6,86,39.1,20.0
638,26,103,40.7,144.0
643,8,94,39.4,34.0
646,28,110,40.9,197.0
648,15,106,40.3,120.0
649,9,88,39.7,48.0
651,25,108,40.3,185.0
652,8,90,39.6,49.0
655,14,100,40.3,81.0
656,19,112,40.3,137.0
657,24,98,40.6,115.0
658,19,98,40.6,93.0
659,8,87,39.5,34.0
660,26,106,40.6,170.0
661,6,92,39.1,38.0
665,5,82,39.1,14.0
666,29,108,40.6,197.0
668,19,100,40.5,106.0
672,22,102,40.5,151.0
675,23,101,40.8,119.0
676,3,82,38.4,10.0
677,19,99,40.2,96.0
678,13,98,40.1,92.0
680,21,105,40.4,169.0
681,15,98,40.2,93.0
684,17,87,40.1,75.0
687,8,88,39.4,23.0
688,4,83,39.1,19.0
689,11,88,40.0,52.0
690,16,98,40.1,76.0
694,22,104,40.6,127.0
697,9,90,39.8,34.0
698,13,93,40.2,56.0
700,22,107,40.6,129.0
701,10,93,39.8,44.0
702,11,94,39.7,66.0
707,15,98,40.4,81.0
709,2,79,38.1,4.0
710,17,100,40.5,110.0
711,9,93,39.6,35.0
712,5,86,39.0,23.0
714,27,95,40.6,137.0
716,21,94,40.5,136.0
717,24,102,40.4,156.0
719,16,102,40.0,97.0
720,18,99,40.3,77.0
721,28,105,40.6,156.0
722,11,93,40.1,58.0
723,10,95,39.9,53.0
726,19,106,40.3,103.0
727,22,101,40.1,164.0
728,13,98,40.1,73.0
729,2,78,38.2,3.0
731,17,96,40.4,88.0
734,6,87,39.1,20.0
736,20,98,41.0,112.0
738,24,99,40.9,130.0
739,21,98,40.6,100.0
743,6,86,39.6,23.0
744,14,95,40.0,58.0
745,4,77,39.2,5.0
746,12,90,39.8,62.0
748,23,107,40.5,196.0
749,16,91,39.9,82.0
750,28,108,40.7,163.0
751,25,99,40.7,108.0
753,18,99,40.4,91.0
757,21,97,40.5,113.0
758,5,82,39.2,11.0
759,13,83,40.3,42.0
761,14,96,39.9,86.0
763,20,102,40.5,146.0
766,10,85,39.7,30.0
767,14,97,40.3,71.0
769,2,80,38.6,5.0
771,9,82,39.6,36.0
772,15,92,40.5,64.0
773,29,109,40.8,240.0
775,22,97,40.5,108.0
776,5,87,39.2,15.0
778,10,91,39.6,53.0
779,18,99,41.0,142.0
783,3,88,38.8,15.0
784,5,84,39.3,19.0
785,3,86,39.1,9.0
786,3,91,38.6,10.0
788,24,107,40.5,135.0
789,30,111,40.7,201.0
790,28,108,41.1,232.0
791,13,92,40.0,52.0
796,26,113,41.1,192.0
798,27,97,40.8,116.0
799,21,102,40.5,120.0
801,3,84,38.5,12.0
802,4,89,38.6,14.0
804,24,108,40.3,162.0
805,27,115,40.5,212.0
807,23,98,40.9,145.0
817,20,92,40.2,69.0
819,12,92,39.7,67.0
825,21,106,40.6,120.0
830,24,104,41.0,156.0
833,26,114,40.7,242.0
839,28,107,40.7,173.0
840,20,101,40.5,150.0
842,17,107,40.2,122.0
843,29,111,41.0,216.0
848,21,111,40.8,151.0
851,19,97,40.3,113.0
852,23,112,41.0,170.0
853,7,90,39.4,27.0
854,3,71,39.0,6.0
858,15,101,40.0,79.0
859,11,89,40.1,62.0
860,12,97,40.2,57.0
862,24,108,40.8,161.0
864,5,85,39.1,24.0
866,29,115,40.7,201.0
870,4,81,38.5,8.0
871,29,115,40.9,207.0
873,20,100,40.4,103.0
876,8,84,39.8,25.0
877,16,88,39.8,54.0
878,14,93,40.0,73.0
881,16,97,40.0,75.0
882,21,107,40.6,125.0
886,15,95,40.1,66.0
887,11,92,39.9,44.0
888,19,102,40.4,116.0
892,15,83,40.5,78.0
893,5,84,39.2,18.0
895,19,99,40.5,93.0
898,7,84,39.1,35.0
903,26,105,41.1,139.0
908,3,79,38.7,6.0
909,13,82,40.2,52.0
913,30,112,41.0,241.0
916,16,105,40.2,91.0
917,15,96,40.2,66.0
919,23,98,40.5,114.0
920,4,85,39.1,12.0
922,4,83,38.9,17.0
923,16,86,40.2,74.0
925,18,97,40.5,125.0
929,27,96,40.5,165.0
930,22,94,40.5,96.0
935,16,95,40.3,71.0
940,3,85,38.6,9.0
941,18,87,40.1,47.0
943,25,106,40.7,189.0
944,14,93,40.0,68.0
945,11,94,39.8,52.0
947,5,86,39.2,20.0
950,8,83,39.6,24.0
951,16,99,40.6,105.0
952,8,84,39.6,23.0
954,10,97,39.4,70.0
955,6,82,39.1,19.0
957,10,88,39.9,31.0
959,21,102,40.4,114.0
961,26,106,40.7,162.0
962,19,100,40.6,102.0
963,7,91,39.4,30.0
965,5,83,39.2,18.0
974,6,81,39.4,22.0
975,24,103,40.6,137.0
978,23,106,40.6,143.0
981,18,100,40.4,133.0
982,4,85,38.7,13.0
986,20,101,40.0,100.0
990,28,109,40.6,214.0
994,13,95,40.3,71.0
995,13,97,40.3,74.0
997,5,82,39.2,15.0
998,21,103,40.8,123.0
1002,13,87,40.3,67.0
1003,3,82,38.7,8.0
1004,12,89,40.0,73.0
1005,4,91,38.8,15.0
1008,22,101,40.5,121.0
1012,29,100,41.0,166.0
1013,16,94,40.2,95.0
1015,22,109,40.4,143.0
1017,28,110,41.2,205.0
1019,9,87,39.6,41.0
1020,14,105,40.0,78.0
1021,2,79,38.6,5.0
1022,9,85,39.8,23.0
1023,26,112,40.6,232.0
1024,16,98,40.3,100.0
1026,10,91,39.9,48.0
1027,22,99,40.3,142.0
1029,3,85,39.0,7.0
1030,24,104,40.4,149.0
1032,14,90,39.8,62.0
1036,26,107,40.9,207.0
1037,3,82,38.5,7.0
1038,11,93,40.1,65.0
1041,22,96,40.8,108.0
1042,28,102,40.7,185.0
1043,21,98,40.2,108.0
1047,13,97,39.7,59.0
1049,28,107,40.9,185.0
1050,6,90,39.4,17.0
1051,26,112,40.8,197.0
1057,8,80,39.5,17.0
1059,19,103,40.3,104.0
1060,15,92,40.2,87.0
1061,27,113,40.7,206.0
1064,23,104,40.6,137.0
1070,26,97,40.9,198.0
1073,25,102,40.7,150.0
1074,21,106,40.5,121.0
1075,5,88,39.2,25.0
1076,16,91,40.2,69.0
1078,9,87,39.5,37.0
1079,16,98,40.3,114.0
1080,14,83,40.2,62.0
1084,24,112,40.8,204.0
1086,5,88,39.5,20.0
1089,9,88,39.8,24.0
1090,11,87,40.0,60.0
1092,7,86,39.5,38.0
1097,9,92,40.1,48.0
1099,6,91,39.6,29.0
1100,8,85,39.7,23.0
1103,19,103,40.4,97.0
1106,17,108,40.4,110.0
1107,16,90,40.4,101.0
1108,3,80,38.8,6.0
1110,5,97,39.2,25.0
1111,18,93,40.0,120.0
1113,20,96,40.7,115.0
1114,20,100,40.4,116.0
1116,14,88,40.3,42.0
1117,12,98,40.1,60.0
1119,27,112,40.7,176.0
1120,1,80,38.1,3.0
1121,3,88,38.7,9.0
1125,27,110,41.0,210.0
1127,5,84,39.0,22.0
1129,21,105,40.7,148.0
1132,17,87,40.1,71.0
1133,14,91,40.1,59.0
1136,19,99,40.1,101.0
1137,29,112,40.9,198.0
1139,11,94,40.1,53.0
1140,22,103,40.8,176.0
1141,20,101,40.8,152.0
1142,3,82,38.8,14.0
1143,13,99,39.9,56.0
1144,16,96,40.2,71.0
1145,30,110,40.8,270.0
1146,12,94,40.0,58.0
1148,10,106,40.1,61.0
1149,8,84,39.6,34.0
1150,10,93,39.8,49.0
1151,17,105,39.9,103.0
1153,6,81,39.4,12.0
1155,14,92,39.9,64.0
1156,29,105,40.8,185.0
1157,22,97,40.8,95.0
1159,20,98,40.8,126.0
1160,20,91,40.2,85.0
1163,27,104,40.8,147.0
1164,16,94,40.2,76.0
1166,8,88,39.8,30.0
1168,11,87,40.0,60.0
1169,17,98,40.2,84.0
1170,29,114,41.2,207.0
1174,14,88,40.4,54.0
1175,10,99,39.8,50.0
1176,23,109,40.7,156.0
1177,20,99,40.4,107.0
1179,23,106,40.5,164.0
1181,15,92,40.2,62.0
1187,8,87,39.4,43.0
1188,27,106,40.5,157.0
1189,3,91,38.3,14.0
1190,10,94,39.9,37.0
1194,26,119,40.8,233.0
1199,25,104,41.0,132.0
1200,8,91,39.6,37.0
1201,6,78,39.4,11.0
1203,11,95,39.7,74.0
1206,21,95,40.6,91.0
1207,11,94,40.0,47.0
1211,7,85,39.3,30.0
1212,24,103,41.0,175.0
1215,14,98,40.3,78.0
1216,26,102,40.5,190.0
1218,7,87,39.3,22.0
1219,30,105,41.1,180.0
1222,9,101,39.9,48.0
1223,21,101,40.5,121.0
1225,12,94,40.1,42.0
1227,28,108,40.9,236.0
1229,2,82,38.1,7.0
1232,26,109,40.6,162.0
1237,17,97,40.4,76.0
1238,16,101,40.4,102.0
1241,29,107,40.6,175.0
1245,20,108,40.2,146.0
1246,20,100,40.1,117.0
1249,28,111,41.0,197.0
1250,30,110,40.9,203.0
1252,25,98,40.7,116.0
1253,13,90,40.1,47.0
1257,28,111,40.9,214.0
1266,4,79,39.1,7.0
1269,9,86,39.8,28.0
1270,11,79,39.7,13.0
1271,25,103,40.9,143.0
1272,5,83,39.3,12.0
1273,23,102,40.6,112.0
1275,8,88,39.4,45.0
1276,29,105,41.1,211.0
1277,20,98,40.7,101.0
1278,14,100,40.5,81.0
1279,28,102,40.8,170.0
1281,10,89,40.2,41.0
1282,16,100,40.3,105.0
1283,15,85,40.5,69.0
1285,5,81,39.3,15.0
1287,11,97,39.7,59.0
1288,16,103,40.3,95.0
1290,29,112,40.9,233.0
1295,22,115,41.2,149.0
1296,20,100,40.4,135.0
1300,25,107,41.0,188.0
1301,25,100,40.7,127.0
1302,19,109,40.5,112.0
1304,18,101,40.3,106.0
1305,22,108,40.7,149.0
1307,24,103,40.6,168.0
1309,22,101,40.4,141.0
1311,13,97,40.0,54.0
1314,25,101,40.8,182.0
1315,2,76,38.1,3.0
1316,15,100,40.0,71.0
1317,8,94,39.4,41.0
1319,11,95,40.0,46.0
1320,26,102,41.2,151.0
1321,20,102,40.4,104.0
1322,25,98,40.8,108.0
1325,8,96,39.2,45.0
1328,27,112,40.8,223.0
1330,19,98,40.4,99.0
1332,7,86,39.1,21.0
1333,11,97,39.7,45.0
1335,18,93,40.6,100.0
1336,2,91,38.3,11.0
1337,26,105,40.7,179.0
1339,16,89,40.5,60.0
1340,12,93,39.8,45.0
1345,8,92,39.6,30.0
1346,13,87,40.1,35.0
1353,26,104,40.8,200.0
1354,9,83,39.8,22.0
1356,28,99,40.6,182.0
1358,14,95,39.8,62.0
1360,3,84,39.1,6.0
1362,6,82,39.4,17.0
1364,14,89,40.5,72.0
1372,28,110,40.5,241.0
1374,17,97,40.6,110.0
1375,27,108,40.9,175.0
1377,26,118,40.6,191.0
1379,23,113,40.2,193.0
1382,2,77,38.3,5.0
1384,29,107,40.8,181.0
1385,2,81,38.2,9.0
1386,7,84,39.5,23.0
1388,28,107,40.8,166.0
1392,10,93,39.6,51.0
1393,2,79,38.4,7.0
1395,13,101,40.3,81.0
1396,14,95,40.2,68.0
1398,26,104,41.1,171.0
1399,22,108,40.8,167.0
1400,22,104,40.6,171.0
1402,25,103,40.9,135.0
1403,4,82,39.1,15.0
1404,26,93,40.5,111.0
1405,20,108,40.5,122.0
1406,20,99,40.4,124.0
1408,16,88,40.3,41.0
1410,21,102,40.4,131.0
1411,30,109,40.9,236.0
1413,14,92,40.1,70.0
1416,18,106,40.3,127.0
1417,19,98,40.4,87.0
1419,19,99,40.6,90.0
1420,17,103,40.6,98.0
1422,15,94,40.1,57.0
1423,16,85,40.1,43.0
1424,23,106,40.4,188.0
1425,19,98,40.4,110.0
1427,22,109,40.5,140.0
1428,2,83,38.6,7.0
1430,9,87,39.7,32.0
1431,12,93,39.8,47.0
1432,7,88,39.7,19.0
1434,10,94,40.1,63.0
1436,24,103,40.6,150.0
1438,10,96,39.7,71.0
1440,3,81,38.8,10.0
1441,23,111,40.8,190.0
1443,5,83,39.3,15.0
1444,28,121,41.2,271.0
1447,9,84,39.9,28.0
1449,8,88,39.5,31.0
1451,29,99,41.2,158.0
1452,28,103,40.5,190.0
1453,24,103,40.9,188.0
1454,22,104,40.8,120.0
1455,30,111,41.0,215.0
1457,27,108,40.8,211.0
1459,18,101,40.7,120.0
1462,18,100,40.3,94.0
1464,4,85,39.1,19.0
1470,28,104,41.1,143.0
1471,13,88,40.1,59.0
1473,4,85,38.8,17.0
1475,2,83,38.1,6.0
1479,4,85,38.9,17.0
1482,15,103,40.0,109.0
1483,4,87,38.7,12.0
1484,29,107,40.9,159.0
1485,6,85,39.5,17.0
1488,26,102,40.7,192.0
1490,12,86,40.0,42.0
1492,17,100,40.0,121.0
1493,10,91,39.6,62.0
1496,24,96,40.9,164.0
1498,12,101,40.0,69.0
1499,2,92,38.3,9.0
1500,29,106,40.8,205.0
1501,12,103,40.4,69.0
1504,4,89,38.8,17.0
1505,20,104,40.6,133.0
1507,20,104,40.6,145.0
1509,24,97,40.8,173.0
1510,19,91,40.5,83.0
1511,2,85,38.3,7.0
1514,19,100,40.3,100.0
1517,26,99,40.8,119.0
1519,15,92,40.6,54.0
1520,2,83,38.1,7.0
1521,14,107,40.0,102.0
1523,16,94,40.6,69.0
1525,23,109,40.5,147.0
1528,24,107,40.7,195.0
1529,26,106,40.7,197.0
1531,17,104,40.3,148.0
1532,24,99,40.6,159.0
1533,20,103,40.3,102.0
1534,16,98,40.2,83.0
1537,3,82,38.4,13.0
1539,6,87,39.1,28.0
1540,15,100,40.4,85.0
1541,4,85,38.8,12.0
1542,12,91,39.8,62.0
1550,30,105,41.0,167.0
1554,7,89,39.5,29.0
1556,20,96,40.5,107.0
1557,14,103,40.1,109.0
1558,17,100,40.4,80.0
1560,26,112,40.8,167.0
1563,24,105,40.6,140.0
1564,19,98,40.0,112.0
1568,23,101,40.5,131.0
1571,29,108,40.9,229.0
1572,28,107,40.9,177.0
1576,22,108,40.4,142.0
1578,5,91,39.1,28.0
1579,28,117,41.0,220.0
1581,6,89,39.1,28.0
1582,17,87,40.8,50.0
1586,14,88,40.2,45.0
1588,19,104,40.3,127.0
1590,30,104,41.0,168.0
1591,24,103,40.8,139.0
1593,21,104,40.6,129.0
1594,26,103,40.9,210.0
1595,25,99,41.1,141.0
1597,5,87,39.1,28.0
1598,5,87,38.6,13.0
1599,26,105,40.7,147.0
1605,24,99,40.5,160.0
1608,25,97,41.1,118.0
1610,23,101,40.9,148.0
1611,17,101,39.9,133.0
1612,30,108,40.7,220.0
1613,16,96,40.5,86.0
1614,23,109,40.6,202.0
1617,20,98,40.3,116.0
1618,24,98,40.8,123.0
1621,9,82,39.6,38.0
1626,7,81,39.4,25.0
1627,12,97,39.9,52.0
1628,6,87,39.0,19.0
1629,19,101,40.4,107.0
1631,20,102,40.4,142.0
1635,5,77,39.4,9.0
1638,2,83,38.2,6.0
1639,22,109,40.4,139.0
1640,22,105,40.4,124.0
1645,6,81,39.3,11.0
1647,15,96,40.2,81.0
1648,9,89,39.7,52.0
1650,19,103,40.4,114.0
1656,14,97,40.2,86.0
1657,24,111,41.3,221.0
1658,13,92,39.9,47.0
1661,29,116,41.0,276.0
1663,28,105,40.8,226.0
1665,29,111,40.8,266.0
1666,7,86,39.6,32.0
1671,29,104,40.9,202.0
1673,16,106,40.3,107.0
1674,11,98,39.7,63.0
1675,13,90,39.8,50.0
1677,5,78,39.0,11.0
1679,29,107,40.8,182.0
1680,16,91,40.5,69.0
1681,24,99,40.9,175.0
1682,3,83,39.0,8.0
1688,2,73,38.2,5.0
1690,3,86,38.5,10.0
1692,15,96,40.3,88.0
1693,18,101,40.4,86.0
1695,9,87,39.4,24.0
1697,24,101,40.9,136.0
1698,4,77,39.0,9.0
1699,15,102,40.3,108.0
1700,9,83,39.8,21.0
1702,17,104,40.3,95.0
1707,3,81,38.3,11.0
1713,10,91,39.8,56.0
1715,21,103,40.4,169.0
1716,12,90,40.4,57.0
1719,26,112,40.7,185.0
1721,16,102,40.3,90.0
1724,18,103,40.5,118.0
1726,27,107,40.8,185.0
1729,20,93,40.8,102.0
1730,13,104,40.0,85.0
1734,3,80,38.5,7.0
1735,9,86,39.7,37.0
1737,28,108,40.9,170.0
1739,18,103,40.0,112.0
1741,22,103,40.7,114.0
1744,17,96,40.4,105.0
1745,10,90,39.6,40.0
1747,8,78,39.7,15.0
1748,12,91,40.2,49.0
1749,24,106,41.1,177.0
1752,24,105,40.8,190.0
1755,19,108,40.2,118.0
1761,25,101,40.9,138.0
1762,9,75,39.9,10.0
1765,20,105,40.7,144.0
1769,10,99,39.7,57.0
1773,25,103,40.7,134.0
1774,28,108,41.2,174.0
1775,2,82,38.4,8.0
1776,12,95,39.8,68.0
1778,23,105,40.8,151.0
1780,11,90,39.8,51.0
1782,5,82,39.0,20.0
1783,19,99,40.6,87.0
1784,10,90,39.7,39.0
1786,13,91,40.0,48.0
1787,30,118,41.1,240.0
1789,23,103,40.5,126.0
1790,13,101,40.0,79.0
1791,19,91,40.2,68.0
1793,23,103,40.9,122.0
1794,21,100,40.9,141.0
1796,9,94,39.7,41.0
1797,3,87,38.2,9.0
1799,13,90,40.3,49.0
1802,27,104,40.5,153.0
1803,3,88,38.7,8.0
1804,21,102,40.4,106.0
1807,3,77,38.3,10.0
1808,12,89,40.0,63.0
1809,2,74,38.2,4.0
1811,8,96,39.4,35.0
1813,25,106,40.1,141.0
1814,24,107,40.8,199.0
1816,28,114,40.8,219.0
1822,10,95,40.1,43.0
1824,10,87,39.7,33.0
1829,25,101,40.9,126.0
1832,2,89,38.1,8.0
1833,8,93,39.4,37.0
1835,6,85,39.3,27.0
1839,14,96,40.2,75.0
1841,3,83,38.6,7.0
1842,13,92,39.7,75.0
1849,10,96,39.9,42.0
1850,7,95,39.2,48.0
1851,28,104,40.8,187.0
1852,19,95,40.7,95.0
1853,15,97,40.3,63.0
1855,19,103,40.5,105.0
1856,8,86,39.8,35.0
1857,8,85,39.8,38.0
1858,15,101,40.3,87.0
1862,8,85,39.5,36.0
1864,29,101,41.0,142.0
1868,22,113,40.7,150.0
1871,25,109,41.0,185.0
1872,12,99,40.1,56.0
1877,15,100,40.6,73.0
1883,19,90,40.2,96.0
1887,11,96,40.0,48.0
1889,10,85,39.8,25.0
1892,19,102,40.6,99.0
1893,10,91,39.6,60.0
1895,19,100,40.2,135.0
1898,22,112,40.2,181.0
1899,5,83,39.4,16.0
1900,21,103,40.4,167.0
1902,21,107,40.1,144.0
1903,23,104,40.7,168.0
1904,27,104,40.7,211.0
1905,15,87,40.3,40.0
1907,17,83,40.5,49.0
1909,16,87,40.1,94.0
1910,17,88,40.6,72.0
1912,30,103,40.7,174.0
1913,12,97,40.1,53.0
1915,6,89,39.1,22.0
1917,3,76,38.4,4.0
1919,19,98,40.3,98.0
1920,3,81,38.6,5.0
