,Duration,Heart_Rate,Body_Temp,Calories
357,22,101,40.4,124.0
358,21,97,40.6,113.0
359,3,80,38.9,9.0
367,4,84,38.7,17.0
369,5,80,39.0,18.0
371,10,97,39.8,58.0
372,15,104,40.0,87.0
377,27,105,40.8,165.0
378,6,84,39.4,22.0
379,17,98,40.1,91.0
380,2,93,38.2,9.0
383,11,99,39.9,57.0
384,10,81,39.9,37.0
388,4,88,38.9,19.0
389,16,94,40.2,80.0
391,10,93,39.7,54.0
393,26,93,40.7,140.0
402,28,105,40.5,169.0
405,13,92,40.2,62.0
407,27,110,41.1,183.0
408,25,101,40.9,138.0
410,23,100,40.6,128.0
411,12,91,40.3,54.0
416,10,85,39.5,42.0
418,3,84,38.6,12.0
420,5,76,39.3,14.0
421,28,105,40.6,171.0
423,20,104,40.6,125.0
427,24,104,40.8,141.0
429,26,102,40.8,159.0
430,9,80,40.2,30.0
431,28,110,40.9,176.0
433,8,85,39.4,29.0
434,21,95,40.1,99.0
435,27,116,41.1,190.0
439,8,86,39.7,37.0
440,21,103,40.4,117.0
446,26,104,40.7,165.0
449,17,92,40.3,86.0
451,26,100,40.4,151.0
454,5,90,39.1,22.0
456,25,114,40.8,192.0
457,8,90,39.2,37.0
466,26,111,41.0,190.0
467,13,91,39.9,66.0
471,5,84,38.9,21.0
472,13,90,40.2,60.0
473,10,93,39.6,51.0
476,27,110,40.8,190.0
477,11,89,40.1,51.0
478,17,95,40.5,95.0
479,29,112,40.9,216.0
481,20,105,40.6,122.0
483,20,99,40.9,113.0
486,12,96,40.1,70.0
491,15,88,40.3,64.0
493,4,83,39.1,15.0
494,9,85,39.6,32.0
495,14,85,40.0,68.0
496,25,106,40.6,159.0
498,13,90,40.1,54.0
501,10,86,39.7,42.0
503,26,106,40.6,164.0
504,23,98,40.8,132.0
506,15,94,40.0,74.0
507,23,96,40.7,116.0
511,7,86,39.1,29.0
514,19,106,40.4,127.0
518,17,97,40.5,91.0
522,5,79,38.7,16.0
523,19,91,40.3,97.0
525,10,95,40.0,56.0
529,30,112,40.5,216.0
533,16,97,40.1,96.0
534,7,88,39.5,33.0
539,21,113,40.5,142.0
541,24,99,40.7,143.0
542,20,105,40.7,123.0
543,26,108,41.1,186.0
545,27,104,40.8,170.0
546,15,97,40.2,78.0
547,26,113,40.5,182.0
548,11,92,40.0,55.0
549,25,101,40.6,150.0
550,6,80,39.9,21.0
555,29,107,41.1,195.0
556,10,101,39.9,57.0
557,18,98,40.5,96.0
558,7,93,39.7,39.0
559,4,85,38.6,18.0
561,15,97,40.3,82.0
563,25,106,40.8,161.0
570,18,92,40.2,82.0
571,25,105,40.5,148.0
572,3,76,38.2,8.0
573,14,86,40.3,53.0
574,16,98,40.2,85.0
575,22,99,40.9,120.0
577,4,80,39.1,13.0
578,28,107,40.6,192.0
582,27,105,40.4,158.0
585,23,96,40.5,112.0
586,14,92,39.7,66.0
589,10,94,39.5,49.0
590,26,100,40.6,149.0
592,28,115,40.6,206.0
593,23,94,40.9,111.0
595,11,94,39.3,56.0
597,15,91,40.2,67.0
600,15,102,40.3,85.0
601,2,77,38.1,6.0
606,9,87,39.5,40.0
607,9,92,40.1,40.0
608,3,75,38.5,8.0
609,8,85,39.8,31.0
610,21,100,40.7,130.0
611,7,89,39.9,32.0
613,3,88,38.5,12.0
617,13,94,39.9,67.0
619,17,91,40.4,79.0
621,22,103,40.4,140.0
626,21,106,40.3,127.0
627,7,88,39.2,32.0
628,5,85,39.1,19.0
629,20,103,40.7,121.0
631,9,91,39.8,48.0
637,3,83,38.7,11.0
639,13,89,40.1,59.0
640,10,97,39.8,53.0
641,8,90,39.2,38.0
642,29,99,40.8,152.0
644,3,87,38.7,12.0
647,20,103,40.0,124.0
650,17,97,40.4,86.0
653,11,85,40.0,49.0
654,11,87,39.9,48.0
662,26,99,40.7,139.0
663,18,94,40.5,86.0
664,26,111,40.9,174.0
667,17,105,40.4,107.0
669,3,85,38.6,11.0
670,6,90,39.0,25.0
671,23,98,40.5,120.0
673,18,91,40.1,91.0
674,18,95,40.5,95.0
679,24,107,40.7,159.0
682,15,96,40.6,83.0
683,22,92,40.6,116.0
685,26,98,40.8,137.0
686,15,94,40.5,79.0
691,10,92,40.0,47.0
692,22,99,40.6,124.0
693,7,89,39.8,28.0
695,19,95,40.0,101.0
696,26,103,40.9,150.0
699,27,104,41.1,158.0
703,28,107,40.8,181.0
704,14,101,40.1,79.0
705,21,113,40.5,145.0
706,28,110,40.7,180.0
708,15,95,40.5,75.0
713,29,103,41.2,175.0
715,27,106,40.6,166.0
718,8,89,39.7,37.0
724,19,100,40.5,108.0
725,11,90,40.0,56.0
730,15,99,40.2,80.0
732,14,98,40.3,74.0
733,16,101,40.0,94.0
735,9,85,39.3,41.0
737,12,96,39.7,69.0
740,27,104,40.6,169.0
741,27,108,41.0,183.0
742,29,110,40.8,211.0
747,3,90,38.7,14.0
752,15,102,40.3,87.0
754,26,108,40.8,186.0
755,8,83,39.4,34.0
756,11,97,40.2,61.0
760,2,81,38.3,7.0
762,7,88,39.4,35.0
764,7,97,39.2,38.0
765,28,105,41.2,179.0
768,16,87,40.2,65.0
770,29,107,40.5,190.0
774,27,114,41.0,212.0
777,23,111,41.0,153.0
780,15,95,40.2,74.0
781,23,105,40.7,150.0
782,17,94,40.0,85.0
787,2,77,38.1,6.0
792,6,86,39.3,23.0
793,18,97,40.4,92.0
794,19,91,40.3,99.0
795,10,87,39.4,41.0
797,2,79,38.2,7.0
803,8,85,39.5,35.0
806,20,94,40.8,101.0
809,11,92,40.0,49.0
810,9,92,39.4,42.0
811,18,93,40.6,82.0
812,3,85,39.1,12.0
813,17,98,40.6,93.0
814,8,86,39.9,39.0
815,25,106,40.7,155.0
816,16,102,40.4,90.0
818,18,114,40.4,133.0
820,5,90,39.0,23.0
821,2,77,38.2,6.0
822,27,113,40.9,194.0
823,2,79,38.4,8.0
824,12,93,40.0,58.0
826,13,89,40.2,57.0
827,18,97,40.1,89.0
828,16,101,40.1,91.0
829,22,105,40.5,143.0
831,5,89,39.0,24.0
832,6,78,39.1,19.0
834,22,103,40.5,135.0
835,3,87,38.5,14.0
836,28,103,40.6,190.0
837,23,92,40.9,111.0
838,9,94,39.2,47.0
841,8,85,39.5,30.0
844,28,114,40.9,208.0
845,3,85,38.7,13.0
846,8,89,39.3,39.0
847,11,92,40.1,59.0
850,17,90,40.3,86.0
855,24,101,40.7,144.0
856,8,91,39.8,34.0
857,14,87,40.0,63.0
861,3,83,38.4,11.0
863,8,87,39.4,38.0
865,22,99,40.6,131.0
867,20,99,40.2,104.0
868,27,106,41.0,175.0
869,11,101,40.0,60.0
872,15,93,40.0,74.0
874,3,81,38.8,10.0
875,12,94,40.4,67.0
879,17,100,40.3,93.0
880,6,85,39.4,26.0
883,25,105,40.8,147.0
884,4,86,39.1,17.0
885,18,98,40.4,101.0
889,5,81,39.3,16.0
890,4,75,38.9,11.0
891,11,89,39.8,49.0
897,3,88,38.3,12.0
899,7,98,39.6,39.0
900,9,93,39.7,42.0
901,4,76,39.1,12.0
902,15,93,40.1,76.0
904,25,108,41.1,159.0
905,19,99,40.6,101.0
907,26,105,40.8,166.0
910,26,105,40.9,157.0
911,24,105,40.6,140.0
912,16,102,40.3,103.0
914,10,80,40.0,36.0
915,3,84,39.1,12.0
918,14,88,40.2,62.0
921,27,107,41.1,180.0
924,27,108,40.8,185.0
927,17,95,40.1,91.0
928,8,86,39.5,39.0
931,7,95,39.4,34.0
932,22,98,40.6,136.0
933,7,100,39.3,36.0
934,9,88,40.0,43.0
936,8,94,39.5,40.0
937,24,107,40.6,163.0
938,26,110,41.3,188.0
939,4,80,38.7,14.0
942,27,99,41.1,146.0
946,14,85,40.0,58.0
948,12,98,40.0,71.0
949,12,95,40.2,60.0
953,30,106,41.1,196.0
956,12,100,39.9,72.0
958,14,92,40.2,70.0
960,2,74,38.2,5.0
964,26,106,41.0,166.0
966,8,87,39.6,40.0
967,3,92,38.7,14.0
968,23,99,40.8,135.0
969,23,102,40.5,144.0
970,17,87,40.0,75.0
971,10,84,40.2,35.0
972,3,84,38.4,12.0
973,20,94,41.0,109.0
976,17,95,40.4,90.0
977,15,98,40.3,77.0
979,17,92,40.3,82.0
980,20,102,40.7,111.0
983,7,91,39.6,31.0
984,19,102,40.2,121.0
985,8,94,39.6,41.0
987,20,105,40.3,122.0
988,12,89,40.0,50.0
989,9,99,39.5,49.0
991,26,108,40.7,176.0
992,29,97,41.0,150.0
993,27,101,41.0,145.0
996,25,113,40.5,183.0
999,21,96,40.4,110.0
1000,19,103,40.7,117.0
1001,26,105,41.1,164.0
1006,14,90,40.3,65.0
1007,8,88,40.2,37.0
1009,16,88,40.3,71.0
1010,19,101,40.6,117.0
1011,7,82,39.4,23.0
1018,17,93,40.3,76.0
1025,16,98,40.4,84.0
1028,2,85,38.3,8.0
1031,21,96,40.5,106.0
1033,18,93,40.1,89.0
1034,27,105,40.9,179.0
1035,10,82,39.6,39.0
1039,5,91,38.7,25.0
1040,13,98,40.3,73.0
1044,19,106,40.4,115.0
1045,6,98,39.3,30.0
1046,28,109,41.0,190.0
1048,10,93,39.4,46.0
1052,16,94,40.1,78.0
1053,20,88,40.5,84.0
1055,25,98,40.6,128.0
1056,22,98,40.5,115.0
1058,25,102,41.3,154.0
1062,8,98,39.7,43.0
1063,12,93,39.7,63.0
1065,8,86,39.5,31.0
1066,6,81,39.1,22.0
1067,13,77,40.2,40.0
1068,22,94,40.8,122.0
1069,22,93,40.3,102.0
1071,28,109,40.7,178.0
1072,19,102,40.5,109.0
1077,28,105,41.4,169.0
1081,16,102,40.3,97.0
1082,17,98,40.2,91.0
1083,17,91,40.4,80.0
1085,23,107,40.8,151.0
1087,21,102,40.6,133.0
1088,14,89,40.4,64.0
1091,27,113,40.9,183.0
1093,22,100,40.9,121.0
1094,27,101,41.1,150.0
1095,14,101,40.3,76.0
1096,27,106,40.5,163.0
1098,5,85,38.8,20.0
1101,11,95,40.1,58.0
1102,24,105,40.5,157.0
1104,4,95,38.7,21.0
1105,29,105,40.9,188.0
1109,5,82,39.2,19.0
1112,29,108,41.5,179.0
1115,8,86,39.5,35.0
1118,11,96,39.8,60.0
1123,7,88,39.3,29.0
1124,2,81,38.6,7.0
1126,3,86,38.5,12.0
1128,17,95,40.3,85.0
1130,25,100,40.9,137.0
1131,2,79,38.5,7.0
1134,5,83,38.8,18.0
1135,5,79,39.1,17.0
1138,7,90,39.4,35.0
1147,10,95,39.6,55.0
1152,9,87,39.5,36.0
1154,3,85,38.5,12.0
1158,19,98,40.5,106.0
1161,27,112,40.3,176.0
1162,8,89,39.7,36.0
1165,18,97,40.7,102.0
1167,10,87,39.3,44.0
1171,15,99,40.0,91.0
1172,13,94,40.0,73.0
1173,11,93,39.6,53.0
1178,5,94,39.2,26.0
1180,5,85,39.0,23.0
1182,12,93,40.1,63.0
1183,16,100,39.7,91.0
1184,11,92,39.7,53.0
1185,22,103,40.5,133.0
1186,13,90,40.0,67.0
1191,23,105,40.6,140.0
1192,13,95,40.2,74.0
1193,27,112,40.8,186.0
1195,25,101,40.8,145.0
1196,28,111,40.6,199.0
1197,10,92,39.7,49.0
1202,28,108,41.0,180.0
1204,5,78,39.0,14.0
1205,5,89,39.2,23.0
1208,17,95,40.6,81.0
1209,14,100,40.4,78.0
1210,22,98,40.5,110.0
1213,28,105,40.6,175.0
1214,6,93,39.3,32.0
1217,25,117,40.8,177.0
1220,29,99,41.1,154.0
1221,6,81,39.2,21.0
1224,17,95,40.9,82.0
1226,26,94,40.5,128.0
1228,29,103,41.1,184.0
1230,15,98,40.4,75.0
1231,9,92,39.7,42.0
1233,19,101,40.2,117.0
1234,10,91,39.9,45.0
1235,8,82,39.6,27.0
1236,18,97,40.3,99.0
1239,4,84,38.4,16.0
1240,6,84,39.5,24.0
1242,10,96,40.0,50.0
1243,3,78,38.3,9.0
1244,8,81,39.7,25.0
1247,15,97,40.4,76.0
1248,12,85,40.0,57.0
1251,6,76,39.5,19.0
1254,7,89,39.6,29.0
1255,4,88,38.7,19.0
1256,4,91,39.2,20.0
1258,17,91,40.5,73.0
1259,9,92,39.7,43.0
1260,26,112,40.7,194.0
1261,20,95,40.8,103.0
1262,5,86,39.1,20.0
1263,24,100,40.6,135.0
1265,19,94,40.3,105.0
1267,20,101,40.6,109.0
1274,4,80,39.2,17.0
1280,25,109,41.0,155.0
1284,8,91,39.4,33.0
1286,13,97,39.8,74.0
1291,18,101,40.2,111.0
1292,10,92,39.9,46.0
1293,27,116,40.8,212.0
1294,7,88,39.3,29.0
1298,16,105,40.5,101.0
1299,25,109,40.6,169.0
1303,22,102,40.8,122.0
1306,23,99,40.9,128.0
1308,8,90,39.8,36.0
1310,25,107,40.4,156.0
1312,7,82,39.5,29.0
1313,18,93,40.4,102.0
1318,6,76,39.3,19.0
1323,17,95,40.3,85.0
1324,23,100,40.5,143.0
1326,4,90,38.9,19.0
1327,3,80,38.3,10.0
1329,7,87,39.4,33.0
1331,12,88,40.1,60.0
1334,20,94,40.2,108.0
1338,5,89,39.3,20.0
1341,4,80,38.9,13.0
1342,7,82,39.6,24.0
1343,25,107,40.9,169.0
1344,26,105,40.5,169.0
1347,14,82,40.2,53.0
1348,9,85,39.8,39.0
1349,28,107,40.5,171.0
1350,13,94,40.0,62.0
1351,14,96,39.9,68.0
1352,18,102,40.5,103.0
1355,13,83,40.0,50.0
1357,11,89,40.1,48.0
1359,12,97,40.2,63.0
1361,29,109,40.9,183.0
1363,29,116,40.9,216.0
1365,27,104,41.2,162.0
1366,5,85,38.9,22.0
1367,5,81,39.0,18.0
1368,27,106,41.0,164.0
1369,10,82,39.9,42.0
1370,8,97,39.6,40.0
1371,19,100,40.6,117.0
1373,20,102,40.3,112.0
1376,4,85,38.8,18.0
1378,26,100,40.8,137.0
1380,22,97,40.6,116.0
1381,11,87,39.8,42.0
1383,18,94,40.7,92.0
1387,15,93,40.4,73.0
1389,8,94,39.4,39.0
1390,13,86,40.0,62.0
1391,3,87,38.5,14.0
1394,2,81,38.1,7.0
1397,17,108,40.3,109.0
1401,5,82,38.8,21.0
1407,22,111,40.7,145.0
1409,10,91,39.9,52.0
1412,14,94,40.0,73.0
1414,13,93,40.1,68.0
1415,5,89,38.7,21.0
1418,28,107,40.4,176.0
1421,28,104,40.9,161.0
1426,15,100,40.4,82.0
1429,20,103,40.4,117.0
1433,10,93,39.9,55.0
1435,19,102,40.3,111.0
1437,12,95,40.2,68.0
1439,23,106,40.8,156.0
1442,10,87,39.9,41.0
1445,19,106,40.4,121.0
1448,9,90,39.5,40.0
1450,7,87,39.8,29.0
1458,28,98,40.7,153.0
1460,12,89,40.0,58.0
1461,3,80,38.6,10.0
1463,3,76,38.4,9.0
1466,16,94,40.1,85.0
1467,3,83,38.4,13.0
1468,10,90,39.6,44.0
1472,18,99,40.5,99.0
1474,23,104,40.5,140.0
1477,10,101,39.5,59.0
1478,26,103,40.9,148.0
1480,14,88,40.1,57.0
1481,24,107,40.4,160.0
1486,9,95,39.5,43.0
1487,4,80,38.6,14.0
1489,15,98,40.1,78.0
1491,5,91,38.7,22.0
1494,12,98,39.8,70.0
1495,28,117,40.9,207.0
1497,6,92,39.0,29.0
1502,17,90,40.5,76.0
1503,21,101,40.6,133.0
1506,23,107,40.8,138.0
1508,10,93,39.6,44.0
1512,22,95,40.5,115.0
1513,13,84,40.2,54.0
1515,2,79,38.3,7.0
1516,4,79,39.1,15.0
1518,20,99,40.8,108.0
1522,11,92,39.8,50.0
1524,22,107,40.5,150.0
1526,14,96,40.1,73.0
1527,11,95,39.8,57.0
1530,14,98,40.3,78.0
1535,1,79,38.1,4.0
1536,25,104,40.6,152.0
1538,24,111,40.6,157.0
1543,21,102,40.4,133.0
1544,8,87,39.9,33.0
1545,24,99,40.7,134.0
1546,8,87,39.5,38.0
1547,11,100,39.8,65.0
1548,9,91,39.8,42.0
1549,18,101,40.6,104.0
1551,21,105,40.5,128.0
1552,29,105,40.9,179.0
1553,6,83,39.3,25.0
1555,29,110,40.6,199.0
1559,10,88,39.7,41.0
1561,14,97,39.8,82.0
1562,5,80,39.0,21.0
1565,15,94,40.3,72.0
1567,19,93,40.3,94.0
1569,10,88,39.6,40.0
1570,5,91,39.1,24.0
1573,15,90,40.1,68.0
1574,2,75,38.2,5.0
1575,10,97,39.5,51.0
1577,5,82,39.2,20.0
1580,7,83,39.7,30.0
1583,9,91,39.7,41.0
1584,12,87,39.8,55.0
1585,7,85,39.4,30.0
1587,6,86,39.6,23.0
1589,22,94,40.8,123.0
1592,3,84,38.3,13.0
1596,22,100,40.8,124.0
1600,16,100,40.6,99.0
1601,4,81,38.8,13.0
1602,7,89,39.3,36.0
1603,25,101,40.8,147.0
1604,14,102,40.4,79.0
1606,13,85,40.3,60.0
1607,14,97,40.3,72.0
1609,14,93,40.0,65.0
1615,5,82,38.9,19.0
1616,21,102,40.6,135.0
1619,16,100,40.1,96.0
1620,6,82,39.2,23.0
1622,6,83,39.2,23.0
1623,21,106,40.4,141.0
1624,20,98,40.1,106.0
1625,10,83,39.7,38.0
1630,26,102,41.1,161.0
1632,5,85,39.1,20.0
1633,7,82,39.4,29.0
1636,3,77,38.8,10.0
1637,25,96,40.8,146.0
1641,24,101,40.7,146.0
1642,6,86,39.3,25.0
1643,17,93,40.5,78.0
1644,27,99,40.7,166.0
1646,3,88,38.5,14.0
1649,21,101,40.5,118.0
1651,23,106,40.7,140.0
1652,2,79,38.2,8.0
1654,26,105,40.6,162.0
1655,14,94,39.9,76.0
1659,30,106,41.0,177.0
1660,19,92,40.6,98.0
1662,17,100,40.0,97.0
1664,15,98,40.0,84.0
1667,3,93,38.2,13.0
1668,13,97,40.0,68.0
1669,27,90,40.7,111.0
1670,9,94,39.8,43.0
1672,17,96,40.4,85.0
1676,18,108,40.5,112.0
1678,26,104,40.7,159.0
1683,26,112,40.5,174.0
1684,7,81,39.4,23.0
1685,20,92,40.8,93.0
1686,4,86,38.8,16.0
1687,8,88,39.8,37.0
1689,20,103,40.4,118.0
1691,16,92,40.1,74.0
1694,18,103,40.1,111.0
1696,22,110,40.6,151.0
1701,30,110,41.0,206.0
1703,9,93,40.0,45.0
1704,26,108,40.6,161.0
1705,6,97,39.1,34.0
1706,21,107,40.6,137.0
1708,27,102,41.2,157.0
1709,21,100,40.4,116.0
1710,13,89,39.8,54.0
1711,12,90,39.5,57.0
1712,4,86,38.7,19.0
1714,11,84,40.1,45.0
1717,26,103,40.6,156.0
1718,9,89,39.6,40.0
1720,14,92,40.1,74.0
1722,22,106,40.4,133.0
1723,8,86,39.4,34.0
1725,4,91,39.3,19.0
1727,3,83,38.3,11.0
1728,9,91,39.7,39.0
1731,3,78,38.7,10.0
1732,29,119,41.3,220.0
1733,19,95,40.7,103.0
1736,9,89,39.9,38.0
1738,7,85,39.1,25.0
1740,2,77,38.2,6.0
1742,7,87,39.8,30.0
1743,23,104,40.6,138.0
1746,22,105,40.5,143.0
1750,19,92,40.4,90.0
1751,12,89,40.0,59.0
1753,10,86,39.8,38.0
1754,16,98,40.2,93.0
1756,9,92,39.9,48.0
1757,2,84,38.5,8.0
1758,14,89,40.4,60.0
1759,24,110,40.5,176.0
1760,4,92,39.1,18.0
1763,19,92,40.4,87.0
1764,14,88,39.9,59.0
1766,4,74,39.0,14.0
1767,19,81,40.5,69.0
1768,4,77,38.6,14.0
1770,22,102,40.4,146.0
1771,16,81,40.0,54.0
1772,12,83,40.0,48.0
1777,15,86,40.2,68.0
1779,16,97,40.1,87.0
1781,15,97,40.4,78.0
1785,29,113,41.0,204.0
1792,15,93,40.3,74.0
1795,21,100,40.8,128.0
1798,11,86,39.6,47.0
1800,22,98,40.5,119.0
1801,28,110,40.9,192.0
1805,12,86,39.9,57.0
1806,24,104,40.4,144.0
1810,29,115,40.9,204.0
1812,24,104,41.0,138.0
1815,6,86,39.0,24.0
1817,24,104,41.0,138.0
1818,4,82,38.7,14.0
1819,15,88,40.2,66.0
1820,30,104,40.9,182.0
1821,20,96,40.4,113.0
1823,15,104,40.2,88.0
1825,15,97,40.2,77.0
1826,21,100,40.3,126.0
1827,27,112,40.5,207.0
1828,4,91,38.9,20.0
1830,6,83,39.3,21.0
1831,27,99,40.9,144.0
1834,24,107,40.4,164.0
1836,20,107,40.3,122.0
1837,21,99,40.7,121.0
1838,20,100,40.3,113.0
1840,11,88,39.7,50.0
1843,9,97,39.8,49.0
1844,27,102,41.0,170.0
1845,25,110,40.7,166.0
1846,17,95,40.3,86.0
1847,23,96,40.5,120.0
1848,18,97,40.5,94.0
1854,20,103,40.4,116.0
1859,6,83,39.3,21.0
1860,10,98,39.8,56.0
1861,14,94,39.8,66.0
1863,18,103,40.5,117.0
1865,5,81,39.5,16.0
1866,9,86,39.2,40.0
1869,2,91,38.6,10.0
1870,7,82,39.4,28.0
1873,17,92,40.5,77.0
1874,13,85,40.0,62.0
1875,9,101,39.7,56.0
1876,6,84,39.3,25.0
1878,8,87,39.5,33.0
1880,27,107,40.8,181.0
1881,16,95,40.1,85.0
1882,26,103,40.4,149.0
1884,8,95,39.4,38.0
1885,14,88,40.2,68.0
1886,28,112,40.8,211.0
1888,2,80,38.2,7.0
1890,13,93,40.0,71.0
1891,28,108,40.9,190.0
1894,3,85,38.6,12.0
1896,17,98,40.4,104.0
1901,28,105,40.6,169.0
1906,24,110,40.5,165.0
1908,28,101,40.9,161.0
1911,5,77,39.2,19.0
1914,13,88,40.3,55.0
1916,15,85,40.4,56.0
1918,18,91,40.3,79.0
1921,12,100,40.2,64.0
1922,6,88,39.3,26.0
1925,19,98,40.6,101.0
1928,25,102,40.4,142.0
1932,21,99,40.7,119.0
1935,13,88,40.1,54.0
1936,7,93,39.0,36.0
1939,12,95,39.8,60.0
1940,12,91,40.2,57.0
1941,11,86,39.9,44.0
1942,13,90,40.1,55.0
1944,19,96,40.5,99.0
1945,20,100,40.6,103.0
1946,6,89,39.6,28.0
1948,11,93,40.0,53.0
1949,24,114,40.8,179.0
1952,16,104,40.1,93.0
1953,23,104,40.7,142.0
1955,12,89,40.1,54.0
1956,7,81,39.8,26.0
1957,19,101,40.7,106.0
1960,28,105,40.7,183.0
1965,26,102,40.7,156.0
1967,24,103,40.4,155.0
1968,17,95,40.1,88.0
1970,8,89,39.5,36.0
1971,7,88,39.4,32.0
1972,8,86,39.3,33.0
1973,24,102,41.1,145.0
1975,15,98,39.7,79.0
1976,12,95,39.8,58.0
1977,22,102,40.7,125.0
1979,10,89,40.2,47.0
1982,29,119,41.1,219.0
1986,21,101,40.3,122.0
1988,11,85,39.7,48.0
1989,26,106,40.8,159.0
1990,14,99,40.4,79.0
1992,5,83,39.3,19.0
1993,17,101,40.1,105.0
1996,13,98,39.9,70.0
1997,26,99,40.7,147.0
1998,10,98,39.9,59.0
2000,27,112,40.8,194.0
2003,24,110,40.6,170.0
